kernel,opcode,count
main_kernel,IMAD,794933.0
main_kernel,SYNCS,637852.0
main_kernel,FMUL,546816.0
main_kernel,LOP3,515376.0
main_kernel,BRA,361065.0
main_kernel,F2FP,321536.0
main_kernel,NANOSLEEP,302038.0
main_kernel,LDS,291360.0
main_kernel,STSM,192512.0
main_kernel,LEA,188856.0
main_kernel,STS,172560.0
main_kernel,FADD,172288.0
main_kernel,VIADD,172136.0
main_kernel,F2F,161792.0
main_kernel,LDSM,86016.0
main_kernel,ISETP,73192.0
main_kernel,PRMT,61952.0
main_kernel,R2UR,53872.0
main_kernel,NOP,49696.0
main_kernel,HMMA,43008.0
main_kernel,S2R,41136.0
main_kernel,MUFU,38304.0
main_kernel,BAR,36992.0
main_kernel,SHF,27280.0
main_kernel,BSYNC,19504.0
main_kernel,BSSY,14376.0
main_kernel,FFMA,14336.0
main_kernel,UIADD3,13992.0
main_kernel,LDL,13088.0
main_kernel,LDTM,12160.0
main_kernel,FENCE,12008.0
main_kernel,UTCHMMA,11136.0
main_kernel,MEMBAR,10976.0
main_kernel,UMOV,10656.0
main_kernel,ULOP3,7208.0
main_kernel,MOV,6192.0
main_kernel,UISETP,5760.0
main_kernel,WARPSYNC,5000.0
main_kernel,IADD3,4920.0
main_kernel,STG,4096.0
main_kernel,ULEA,3904.0
main_kernel,CS2R,3840.0
main_kernel,USHF,2880.0
main_kernel,UTCBAR,2032.0
main_kernel,STTM,2016.0
main_kernel,UTMALDG,1280.0
main_kernel,S2UR,720.0
main_kernel,LDCU,360.0
main_kernel,ELECT,296.0
main_kernel,DEPBAR,264.0
main_kernel,UTMASTG,256.0
main_kernel,UTMACMDFLUSH,256.0
main_kernel,STL,224.0
main_kernel,LDC,144.0
main_kernel,YIELD,128.0
main_kernel,EXIT,104.0
main_kernel,SHFL,96.0
main_kernel,UTMACCTL,48.0
main_kernel,P2R,32.0
main_kernel,ATOMS,32.0
main_kernel,UTCATOMSWS,16.0
main_kernel,REDUX,16.0
main_kernel,VOTEU,8.0
main_kernel,UVIRTCOUNT,8.0
main_kernel,UFLO,8.0
