kernel,metric,value,unit
main_kernel,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,353747,
main_kernel,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,62563,
main_kernel,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,86312,
main_kernel,l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum,0,sector
main_kernel,l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum,131122,sector
main_kernel,lts__t_sectors.sum,402545,sector
main_kernel,dram__sectors_read.sum,71832,sector
main_kernel,dram__sectors_write.sum,0,sector
main_kernel,smsp__inst_executed.sum,1022711,inst
main_kernel,launch__registers_per_thread,168,register/thread
main_kernel,launch__occupancy_limit_registers,1,block
